,HC,Herb,Woody,Leaf,Other,Crops,BuiltArea,Trees
3WINTER,1.510824204,0,0.1,0.9,0,5.900444835,4.791316537,77.30773146
3SPRING,2.066103045,0.3,0.05,0.65,0,5.900444835,4.791316537,77.30773146
3SUMMER,2.621381886,0.6,0,0.4,0,5.900444835,4.791316537,77.30773146
3FALL,2.066103045,0.3,0.05,0.65,0,5.900444835,4.791316537,77.30773146
5WINTER,2.673609193,0,0.2,0.75,0.05,22.66005266,3.30773983,6.122704053
5SPRING,2.317990404,0.05,0.1,0.825,0.025,22.66005266,3.30773983,6.122704053
5SUMMER,1.962371615,0.1,0,0.9,0,22.66005266,3.30773983,6.122704053
5FALL,2.317990404,0.05,0.1,0.825,0.025,22.66005266,3.30773983,6.122704053
6WINTER,1.535300766,0,0.05,0.95,0,42.7768899,3.399472822,20.78483114
6SPRING,1.877407619,0.05,0.025,0.925,0,42.7768899,3.399472822,20.78483114
6SUMMER,2.219514472,0.1,0,0.9,0,42.7768899,3.399472822,20.78483114
6FALL,1.877407619,0.05,0.025,0.925,0,42.7768899,3.399472822,20.78483114
7WINTER,2.157302566,0.1,0.3,0.6,0,0.525573122,6.81605727,34.75358313
7SPRING,2.405355298,0.15,0.35,0.5,0,0.525573122,6.81605727,34.75358313
7SUMMER,2.65340803,0.2,0.4,0.4,0,0.525573122,6.81605727,34.75358313
7FALL,2.405355298,0.15,0.35,0.5,0,0.525573122,6.81605727,34.75358313
14WINTER,1.881224135,0.1,0.3,0.6,0,0,7.773100883,45.65584558
14SPRING,2.323268463,0.2,0.35,0.45,0,0,7.773100883,45.65584558
14SUMMER,2.765312792,0.3,0.4,0.3,0,0,7.773100883,45.65584558
14FALL,2.323268463,0.2,0.35,0.45,0,0,7.773100883,45.65584558
19WINTER,2.718780366,0,0,0.8,0.2,24.80728117,4.588331315,46.45818676
19SPRING,2.551430332,0.4,0,0.5,0.1,24.80728117,4.588331315,46.45818676
19SUMMER,2.384080299,0.8,0,0.2,0,24.80728117,4.588331315,46.45818676
19FALL,2.551430332,0.4,0,0.5,0.1,24.80728117,4.588331315,46.45818676
20WINTER,2.279751859,0,0.1,0.9,0,23.08500587,4.242807327,27.09913257
20SPRING,2.527691056,0.05,0.05,0.9,0,23.08500587,4.242807327,27.09913257
20SUMMER,2.775630252,0.1,0,0.9,0,23.08500587,4.242807327,27.09913257
20FALL,2.527691056,0.05,0.05,0.9,0,23.08500587,4.242807327,27.09913257
22WINTER,1.498706107,0,0.2,0.8,0,0.078790743,8.906353005,47.92919439
22SPRING,1.756215799,0.15,0.1,0.75,0,0.078790743,8.906353005,47.92919439
22SUMMER,2.01372549,0.3,0,0.7,0,0.078790743,8.906353005,47.92919439
22FALL,1.756215799,0.15,0.1,0.75,0,0.078790743,8.906353005,47.92919439
26WINTER,2.621321612,0,0.2,0.8,0,6.592005191,0.365235917,72.40171717
26SPRING,2.525109919,0.2,0.1,0.7,0,6.592005191,0.365235917,72.40171717
26SUMMER,2.428898226,0.4,0,0.6,0,6.592005191,0.365235917,72.40171717
26FALL,2.525109919,0.2,0.1,0.7,0,6.592005191,0.365235917,72.40171717
27WINTER,1.973549357,0.2,0.3,0.5,0,0.012732395,16.44333347,58.02153386
27SPRING,2.057549655,0.2,0.225,0.575,0,0.012732395,16.44333347,58.02153386
27SUMMER,2.141549953,0.2,0.15,0.65,0,0.012732395,16.44333347,58.02153386
27FALL,2.057549655,0.2,0.225,0.575,0,0.012732395,16.44333347,58.02153386
33WINTER,2.072882465,0,0,1,0,11.36262185,6.525579053,64.18454604
33SPRING,2.222785771,0.1,0,0.9,0,11.36262185,6.525579053,64.18454604
33SUMMER,2.372689076,0.2,0,0.8,0,11.36262185,6.525579053,64.18454604
33FALL,2.222785771,0.1,0,0.9,0,11.36262185,6.525579053,64.18454604
34WINTER,2.090582712,0,0,1,0,0,12.3120561,48.56265325
34SPRING,1.861631225,0.05,0,0.95,0,0,12.3120561,48.56265325
34FALL,1.861631225,0.05,0,0.95,0,0,12.3120561,48.56265325
39WINTER,1.93627451,0,0.1,0.9,0,1.73976414,5.676089192,78.32645294
39SPRING,1.952777778,0.2,0.05,0.75,0,1.73976414,5.676089192,78.32645294
39SUMMER,1.969281046,0.4,0,0.6,0,1.73976414,5.676089192,78.32645294
39FALL,1.952777778,0.2,0.05,0.75,0,1.73976414,5.676089192,78.32645294
43WINTER,2.201386971,0,0.4,0.6,0,0,0.682107095,90.46052584
43SPRING,2.155828873,0.125,0.35,0.525,0,0,0.682107095,90.46052584
43SUMMER,2.110270775,0.25,0.3,0.45,0,0,0.682107095,90.46052584
43FALL,2.155828873,0.125,0.35,0.525,0,0,0.682107095,90.46052584
44WINTER,2.80143351,0.3,0,0.65,0,0.162628119,3.128520789,64.69099917
44SPRING,2.719600975,0.35,0,0.625,0.025,0.162628119,3.128520789,64.69099917
44SUMMER,2.637768441,0.4,0,0.6,0,0.162628119,3.128520789,64.69099917
44FALL,2.719600975,0.35,0,0.625,0.025,0.162628119,3.128520789,64.69099917
45WINTER,1.602634324,0,0.3,0.7,0,0,0.247360843,72.43429043
45SPRING,1.998959553,0.425,0.2,0.375,0,0,0.247360843,72.43429043
45SUMMER,2.395284781,0.85,0.1,0.05,0,0,0.247360843,72.43429043
45FALL,1.998959553,0.425,0.2,0.375,0,0,0.247360843,72.43429043
48WINTER,1.851647284,0,0,1,0,0,0.718466798,71.06335705
48SPRING,2.298629431,0.35,0.075,0.5,0.075,0,0.718466798,71.06335705
48SUMMER,2.745611578,0.7,0.15,0,0.15,0,0.718466798,71.06335705
48FALL,2.298629431,0.35,0.075,0.5,0.075,0,0.718466798,71.06335705
50SUMMER,2.20620915,0.2,0.1,0.7,0,0.020721874,11.93552854,69.81552372
51WINTER,1.710784314,0,0.03,0.97,0,2.02431609,28.09059366,42.35445267
51SPRING,1.934780579,0.075,0.015,0.91,0,2.02431609,28.09059366,42.35445267
51SUMMER,2.158776844,0.15,0,0.85,0,2.02431609,28.09059366,42.35445267
51FALL,1.934780579,0.075,0.015,0.91,0,2.02431609,28.09059366,42.35445267
53SUMMER,2.894864613,0.1,0.8,0.1,0,0.235818312,6.382492702,65.39215414
55WINTER,1.960137367,0,0.2,0.8,0,4.595520384,0,57.60300335
55SPRING,2.104975313,0.15,0.2,0.65,0,4.595520384,0,57.60300335
55SUMMER,2.249813259,0.3,0.2,0.5,0,4.595520384,0,57.60300335
55FALL,2.104975313,0.15,0.2,0.65,0,4.595520384,0,57.60300335
57WINTER,1.876157088,0,0.1,0.9,0,14.15918549,0.208561301,30.79604046
57SUMMER,2.195985061,0,0.1,0.9,0,14.15918549,0.208561301,30.79604046
57FALL,2.036071074,0,0.1,0.9,0,14.15918549,0.208561301,30.79604046
60WINTER,2.742269887,0,0.6,0.4,0,2.612059551,0.693978911,89.44340173
60SPRING,2.972208706,0.425,0.3,0.275,0,2.612059551,0.693978911,89.44340173
60SUMMER,3.202147526,0.85,0,0.15,0,2.612059551,0.693978911,89.44340173
60FALL,2.972208706,0.425,0.3,0.275,0,2.612059551,0.693978911,89.44340173
66WINTER,1.646478362,0,0.4,0.6,0,4.572612862,0.307192792,78.00418874
66SPRING,2.015466072,0.425,0.2,0.375,0,4.572612862,0.307192792,78.00418874
66SUMMER,2.384453782,0.85,0,0.15,0,4.572612862,0.307192792,78.00418874
66FALL,2.015466072,0.425,0.2,0.375,0,4.572612862,0.307192792,78.00418874
68WINTER,2.05198073,0,0.4,0.6,0,0.793398672,24.21811719,46.51565834
68SPRING,2.266466555,0.35,0.3,0.35,0,0.793398672,24.21811719,46.51565834
68SUMMER,2.480952381,0.7,0.2,0.1,0,0.793398672,24.21811719,46.51565834
68FALL,2.266466555,0.35,0.3,0.35,0,0.793398672,24.21811719,46.51565834
70WINTER,1.580065359,0,0.3,0.7,0,0.063661977,5.747724883,71.76830431
70SPRING,1.661134454,0.1,0.15,0.75,0,0.063661977,5.747724883,71.76830431
70SUMMER,1.742203548,0.2,0,0.8,0,0.063661977,5.747724883,71.76830431
70FALL,1.661134454,0.1,0.15,0.75,0,0.063661977,5.747724883,71.76830431
71WINTER,2.138001575,0,0.4,0.6,0,0,0,63.05913692
71SPRING,2.508543271,0.5,0.2,0.3,0,0,0,63.05913692
71SUMMER,2.879084967,1,0,0,0,0,0,63.05913692
71FALL,2.508543271,0.5,0.2,0.3,0,0,0,63.05913692
72WINTER,2.585680751,0,0.3,0.7,0,0.188524902,19.97698648,75.81956815
72SPRING,2.573395931,0.05,0.15,0.8,0,0.188524902,19.97698648,75.81956815
72SUMMER,2.561111111,0.1,0,0.9,0,0.188524902,19.97698648,75.81956815
72FALL,2.573395931,0.05,0.15,0.8,0,0.188524902,19.97698648,75.81956815
75WINTER,2.490295805,0.1,0.1,0.8,0,0,0,57.79472754
75SPRING,2.634410274,0.5,0.1,0.4,0,0,0,57.79472754
75SUMMER,2.778524743,0.9,0.1,0,0,0,0,57.79472754
75FALL,2.634410274,0.5,0.1,0.4,0,0,0,57.79472754
78WINTER,2.048472388,0,0.5,0.5,0,0,0,97.37593891
78SPRING,2.15890006,0.025,0.6,0.375,0,0,0,97.37593891
78SUMMER,2.269327731,0.05,0.7,0.25,0,0,0,97.37593891
78FALL,2.15890006,0.025,0.6,0.375,0,0,0,97.37593891