,Season
3.1,Winter
3.2,Spring
3.3,Summer
3.4,Fall
5.1,Winter
5.2,Spring
5.3,Summer
5.4,Fall
6.1,Winter
6.2,Spring
6.3,Summer
6.4,Fall
7.1,Winter
7.2,Spring
7.3,Summer
7.4,Fall
14.1,Winter
14.2,Spring
14.3,Summer
14.4,Fall
19.1,Winter
19.2,Spring
19.3,Summer
19.4,Fall
20.1,Winter
20.2,Spring
20.3,Summer
20.4,Fall
22.1,Winter
22.2,Spring
22.3,Summer
22.4,Fall
26.1,Winter
26.2,Spring
26.3,Summer
26.4,Fall
27.1,Winter
27.2,Spring
27.3,Summer
27.4,Fall
33.1,Winter
33.2,Spring
33.3,Summer
33.4,Fall
34.1,Winter
34.2,Spring
34.4,Fall
39.1,Winter
39.2,Spring
39.3,Summer
39.4,Fall
43.1,Winter
43.2,Spring
43.3,Summer
43.4,Fall
44.1,Winter
44.2,Spring
44.3,Summer
44.4,Fall
45.1,Winter
45.2,Spring
45.3,Summer
45.4,Fall
48.1,Winter
48.2,Spring
48.3,Summer
48.4,Fall
50.3,Summer
51.1,Winter
51.2,Spring
51.3,Summer
51.4,Fall
53.3,Summer
55.1,Winter
55.2,Spring
55.3,Summer
55.4,Fall
57.1,Winter
57.3,Summer
57.4,Fall
60.1,Winter
60.2,Spring
60.3,Summer
60.4,Fall
66.1,Winter
66.2,Spring
66.3,Summer
66.4,Fall
68.1,Winter
68.2,Spring
68.3,Summer
68.4,Fall
70.1,Winter
70.2,Spring
70.3,Summer
70.4,Fall
71.1,Winter
71.2,Spring
71.3,Summer
71.4,Fall
72.1,Winter
72.2,Spring
72.3,Summer
72.4,Fall
75.1,Winter
75.2,Spring
75.3,Summer
75.4,Fall
78.1,Winter
78.2,Spring
78.3,Summer
78.4,Fall